"export-plot data (NetLogo 6.2.0)"
"fungi_model_gh.nlogo"
"02/08/2021 15:14:47:897 -0500"

"MODEL SETTINGS"
"initial-fungi-per-cluster","climate","ground-litter-percent"
"25","""arid""","15"

"""Brown Patch Number"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","4910","true","""dp""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""dp""","true","0","1","35","1000"

"""dp"""
"x","y","color","pen down?"
"0","1612","35","true"
"1","1688","35","true"
"2","1780","35","true"
"3","1855","35","true"
"4","1936","35","true"
"5","2013","35","true"
"6","2090","35","true"
"7","2170","35","true"
"8","2246","35","true"
"9","2313","35","true"
"10","2402","35","true"
"11","2484","35","true"
"12","2564","35","true"
"13","2646","35","true"
"14","2733","35","true"
"15","2817","35","true"
"16","2887","35","true"
"17","2953","35","true"
"18","3040","35","true"
"19","3103","35","true"
"20","3166","35","true"
"21","3222","35","true"
"22","3292","35","true"
"23","3348","35","true"
"24","3418","35","true"
"25","3472","35","true"
"26","3519","35","true"
"27","3571","35","true"
"28","3625","35","true"
"29","3683","35","true"
"30","3735","35","true"
"31","3798","35","true"
"32","3824","35","true"
"33","3871","35","true"
"34","3926","35","true"
"35","3967","35","true"
"36","3994","35","true"
"37","4023","35","true"
"38","4051","35","true"
"39","4072","35","true"
"40","4118","35","true"
"41","4140","35","true"
"42","4175","35","true"
"43","4212","35","true"
"44","4244","35","true"
"45","4252","35","true"
"46","4265","35","true"
"47","4283","35","true"
"48","4269","35","true"
"49","4282","35","true"
"50","4296","35","true"
"51","4311","35","true"
"52","4342","35","true"
"53","4365","35","true"
"54","4365","35","true"
"55","4369","35","true"
"56","4368","35","true"
"57","4389","35","true"
"58","4412","35","true"
"59","4425","35","true"
"60","4447","35","true"
"61","4458","35","true"
"62","4464","35","true"
"63","4461","35","true"
"64","4477","35","true"
"65","4499","35","true"
"66","4507","35","true"
"67","4509","35","true"
"68","4524","35","true"
"69","4523","35","true"
"70","4521","35","true"
"71","4525","35","true"
"72","4522","35","true"
"73","4521","35","true"
"74","4521","35","true"
"75","4523","35","true"
"76","4511","35","true"
"77","4522","35","true"
"78","4511","35","true"
"79","4483","35","true"
"80","4460","35","true"
"81","4435","35","true"
"82","4435","35","true"
"83","4410","35","true"
"84","4384","35","true"
"85","4363","35","true"
"86","4334","35","true"
"87","4307","35","true"
"88","4269","35","true"
"89","4265","35","true"
"90","4268","35","true"
"91","4253","35","true"
"92","4223","35","true"
"93","4210","35","true"
"94","4187","35","true"
"95","4170","35","true"
"96","4173","35","true"
