"export-plot data (NetLogo 6.2.0)"
"fungi_model_gh.nlogo"
"02/08/2021 08:38:33:308 -0500"

"MODEL SETTINGS"
"initial-fungi-per-cluster","climate","ground-litter-percent"
"80","""tropical-rainforest""","60"

"""Brown Patch Number"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","10100","true","""dp""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""dp""","true","0","1","35","1000"

"""dp"""
"x","y","color","pen down?"
"0","6187","35","true"
"1","6300","35","true"
"2","6403","35","true"
"3","6515","35","true"
"4","6621","35","true"
"5","6735","35","true"
"6","6812","35","true"
"7","6900","35","true"
"8","6996","35","true"
"9","7086","35","true"
"10","7150","35","true"
"11","7223","35","true"
"12","7286","35","true"
"13","7365","35","true"
"14","7420","35","true"
"15","7489","35","true"
"16","7530","35","true"
"17","7602","35","true"
"18","7643","35","true"
"19","7692","35","true"
"20","7720","35","true"
"21","7764","35","true"
"22","7781","35","true"
"23","7787","35","true"
"24","7821","35","true"
"25","7845","35","true"
"26","7871","35","true"
"27","7901","35","true"
"28","7914","35","true"
"29","7939","35","true"
"30","7949","35","true"
"31","7960","35","true"
"32","7982","35","true"
"33","7996","35","true"
"34","8020","35","true"
"35","8039","35","true"
"36","8057","35","true"
"37","8211","35","true"
"38","8348","35","true"
"39","8468","35","true"
"40","8598","35","true"
"41","8686","35","true"
"42","8777","35","true"
"43","8839","35","true"
"44","8903","35","true"
"45","8950","35","true"
"46","9015","35","true"
"47","9080","35","true"
"48","9143","35","true"
"49","9141","35","true"
"50","9139","35","true"
"51","9137","35","true"
"52","9144","35","true"
"53","9137","35","true"
"54","9140","35","true"
"55","9149","35","true"
"56","9156","35","true"
"57","9145","35","true"
"58","9136","35","true"
"59","9144","35","true"
"60","9143","35","true"
"61","9148","35","true"
"62","9134","35","true"
"63","9122","35","true"
"64","9111","35","true"
"65","9110","35","true"
"66","9101","35","true"
"67","9102","35","true"
"68","9087","35","true"
"69","9072","35","true"
"70","9056","35","true"
"71","9058","35","true"
"72","9055","35","true"
"73","9043","35","true"
"74","9039","35","true"
"75","9036","35","true"
"76","9036","35","true"
"77","9044","35","true"
"78","9033","35","true"
"79","9024","35","true"
"80","9014","35","true"
"81","9014","35","true"
"82","9004","35","true"
"83","9012","35","true"
"84","9008","35","true"
"85","9066","35","true"
"86","9108","35","true"
"87","9191","35","true"
"88","9241","35","true"
"89","9300","35","true"
"90","9328","35","true"
"91","9361","35","true"
"92","9384","35","true"
"93","9431","35","true"
"94","9470","35","true"
"95","9511","35","true"
"96","9540","35","true"
"97","9523","35","true"
"98","9510","35","true"
"99","9500","35","true"
"100","9497","35","true"
"101","9481","35","true"
"102","9472","35","true"
"103","9460","35","true"
"104","9453","35","true"
"105","9444","35","true"
"106","9431","35","true"
"107","9416","35","true"
"108","9407","35","true"
"109","9406","35","true"
"110","9399","35","true"
"111","9398","35","true"
"112","9376","35","true"
"113","9372","35","true"
"114","9360","35","true"
"115","9348","35","true"
"116","9345","35","true"
"117","9334","35","true"
"118","9325","35","true"
"119","9309","35","true"
"120","9279","35","true"
"121","9260","35","true"
"122","9249","35","true"
"123","9231","35","true"
"124","9225","35","true"
"125","9220","35","true"
"126","9211","35","true"
"127","9190","35","true"
"128","9183","35","true"
"129","9191","35","true"
"130","9185","35","true"
"131","9169","35","true"
"132","9156","35","true"
"133","9208","35","true"
"134","9271","35","true"
