"export-plot data (NetLogo 6.2.0)"
"fungi_model_gh.nlogo"
"02/08/2021 15:32:16:174 -0500"

"MODEL SETTINGS"
"initial-fungi-per-cluster","climate","ground-litter-percent"
"125","""semi-arid""","75"

"""Population of Fungi Clusters over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","10900","true","""f1s""","true","7"

"pen name","pen down?","mode","interval","color","x"
"""f1s""","true","0","1","15","1000"
"""f2s""","true","0","1","25","1000"
"""f3s""","true","0","1","45","1000"
"""f4s""","true","0","1","85","1000"
"""f5s""","true","0","1","105","1000"
"""f6s""","true","0","1","115","1000"
"""f7s""","true","0","1","125","1000"

"""f1s""",,,,"""f2s""",,,,"""f3s""",,,,"""f4s""",,,,"""f5s""",,,,"""f6s""",,,,"""f7s"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","125","15","true","0","125","25","true","0","125","45","true","0","125","85","true","0","125","105","true","0","125","115","true","0","125","125","true"
"1","105","15","true","1","121","25","true","1","110","45","true","1","107","85","true","1","115","105","true","1","115","115","true","1","116","125","true"
"2","83","15","true","2","697","25","true","2","88","45","true","2","89","85","true","2","635","105","true","2","95","115","true","2","96","125","true"
"3","72","15","true","3","661","25","true","3","81","45","true","3","78","85","true","3","601","105","true","3","78","115","true","3","548","125","true"
"4","53","15","true","4","1518","25","true","4","345","45","true","4","58","85","true","4","1208","105","true","4","294","115","true","4","461","125","true"
"5","38","15","true","5","2420","25","true","5","269","45","true","5","41","85","true","5","1031","105","true","5","257","115","true","5","380","125","true"
"6","25","15","true","6","2169","25","true","6","214","45","true","6","30","85","true","6","1670","105","true","6","201","115","true","6","832","125","true"
"7","15","15","true","7","3164","25","true","7","160","45","true","7","22","85","true","7","1394","105","true","7","152","115","true","7","678","125","true"
"8","6","15","true","8","2785","25","true","8","279","45","true","8","10","85","true","8","2131","105","true","8","225","115","true","8","882","125","true"
"9","2","15","true","9","3573","25","true","9","195","45","true","9","5","85","true","9","1767","105","true","9","154","115","true","9","704","125","true"
